               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 133,            0.026775,            0.025323,           0.0041557,             0.81294,             0.82906,             0.85993,             0.50182,            0.033223,            0.037082,           0.0042939,           0.0067495,           0.0067495,           0.0067495
                 134,            0.027515,            0.027486,           0.0042017,             0.84407,             0.81459,             0.86186,             0.50713,            0.032999,             0.03624,           0.0039167,           0.0067083,           0.0067083,           0.0067083
                 135,            0.028506,            0.027468,           0.0038922,             0.83926,             0.78668,             0.85375,             0.49403,            0.032966,             0.03424,            0.003938,           0.0066671,           0.0066671,           0.0066671
                 136,             0.02694,            0.025419,           0.0041917,             0.83613,             0.82694,             0.87156,             0.52546,            0.031614,            0.034051,           0.0036068,           0.0066257,           0.0066257,           0.0066257
                 137,              0.0264,            0.025623,            0.004116,             0.85027,             0.81468,             0.85924,             0.51507,            0.031756,            0.035544,           0.0036703,           0.0065843,           0.0065843,           0.0065843
                 138,            0.028701,            0.025692,           0.0041638,             0.81947,              0.8239,             0.84873,             0.51461,            0.031924,            0.036704,           0.0035554,           0.0065429,           0.0065429,           0.0065429
                 139,            0.029794,            0.026263,           0.0041674,             0.83165,              0.8375,             0.86157,             0.51134,            0.031871,            0.036142,           0.0037673,           0.0065013,           0.0065013,           0.0065013
                 140,            0.027013,            0.025983,           0.0041983,             0.82122,             0.82837,             0.84384,             0.49993,            0.032869,            0.035867,           0.0039533,           0.0064597,           0.0064597,           0.0064597
                 141,            0.026034,            0.026261,            0.003857,             0.83154,             0.82221,             0.84938,              0.5029,            0.032618,             0.03505,            0.003925,           0.0064181,           0.0064181,           0.0064181
                 142,            0.028001,            0.026025,           0.0042422,             0.78789,             0.85668,             0.85396,             0.50115,            0.033627,            0.035781,           0.0039601,           0.0063764,           0.0063764,           0.0063764
                 143,            0.027392,             0.02486,           0.0040693,             0.84736,             0.83966,             0.86911,             0.51522,             0.03286,            0.034748,           0.0039375,           0.0063347,           0.0063347,           0.0063347
                 144,            0.026305,            0.025605,            0.004119,               0.823,             0.86129,              0.8738,             0.51027,            0.032289,            0.035689,           0.0039737,            0.006293,            0.006293,            0.006293
                 145,            0.025864,            0.023617,           0.0041052,              0.8429,             0.85246,             0.88022,             0.52001,            0.032338,            0.035817,           0.0038925,           0.0062512,           0.0062512,           0.0062512
                 146,             0.02719,            0.027204,           0.0041202,               0.869,             0.81504,             0.86371,             0.50694,            0.032737,            0.035277,           0.0039015,           0.0062093,           0.0062093,           0.0062093
                 147,            0.027262,            0.025357,            0.004304,             0.80599,             0.87015,             0.87594,             0.52509,            0.032398,            0.034597,           0.0038846,           0.0061675,           0.0061675,           0.0061675
                 148,            0.025439,            0.024636,           0.0038727,              0.8378,             0.82274,             0.85396,             0.50629,            0.032891,            0.037686,           0.0038382,           0.0061256,           0.0061256,           0.0061256
                 149,            0.025691,            0.024299,           0.0043438,             0.84556,             0.81062,             0.85492,             0.50638,            0.032464,             0.03688,           0.0039563,           0.0060838,           0.0060838,           0.0060838
                 150,            0.027268,            0.025108,           0.0038585,             0.82378,             0.82019,                0.85,             0.49135,            0.032269,            0.036136,           0.0039714,           0.0060419,           0.0060419,           0.0060419
                 151,            0.027795,            0.024679,           0.0036719,             0.87148,             0.78155,             0.84974,             0.50496,            0.032093,              0.0351,           0.0037843,               0.006,               0.006,               0.006
                 152,            0.025073,            0.024196,           0.0035867,             0.84494,             0.84069,             0.86035,             0.52093,            0.031413,            0.034152,           0.0036817,           0.0059581,           0.0059581,           0.0059581
                 153,            0.026114,            0.024819,           0.0042707,              0.8363,             0.84899,             0.86282,              0.5211,            0.032083,             0.03534,           0.0037831,           0.0059162,           0.0059162,           0.0059162
                 154,            0.026527,            0.025745,            0.003856,             0.84481,              0.8219,             0.86366,             0.52104,            0.031968,            0.034882,           0.0037534,           0.0058744,           0.0058744,           0.0058744
                 155,            0.026937,            0.025792,           0.0038549,              0.8504,             0.82876,             0.87261,             0.52353,            0.031564,            0.033502,           0.0037234,           0.0058325,           0.0058325,           0.0058325
                 156,            0.025252,            0.025565,           0.0040422,              0.8599,             0.81337,             0.86503,             0.52075,             0.03207,            0.034701,           0.0036385,           0.0057907,           0.0057907,           0.0057907
